NAZWA_SKROCONA;MIEJSCOWOSC;ULICA;NR_KLIENTA
BYDGOSZCZ1;BYDGOSZCZ;FORDO—SKA;1
POZNA—2;POZNA—;G£OGOWSKA;2
POZNA—3;POZNA—;STRZESZY—SKA;3
Z£AWIEå WIELKA1157;Z£AWIEå WIELKA;Z£AWIEå WIELKA;1†157
BYDGOSZCZ4;BYDGOSZCZ;W. POLSKIEGO;4
BYDGOSZCZ5;BYDGOSZCZ;INOWROC£AWSKA;5
PATEREK7006;PATEREK;KCY—SKA;7†006
SOLEC KUJAWSKI6;SOLEC KUJAWSKI;POWSTA—C”W;6
TORU—7;TORU—;STAROTORU—SKA;7
CHOJNICE8;CHOJNICE;ANGOWICKA;8
KWIDZYN -G”RKI7256;KWIDZYN -G”RKI;G”RKI;7†256
GOSTYCYN9;GOSTYCYN;PI£A;9
CHOJNICE10;CHOJNICE;ANGOWICKA;10
SZUBIN3000;SZUBIN;KILI—SKIEGO;3†000
BYDGOSZCZ11;BYDGOSZCZ;NOWOTORU—SKA;11
CHOJNICE12;CHOJNICE;KOåCIERSKA;12
OSTROWITE RYPI—SKIE13;OSTROWITE RYPI—SKIE;;13
BYDGOSZCZ14;BYDGOSZCZ;TORU—SKA;14
BYDGOSZCZ 85 3477180;BYDGOSZCZ 85 347;NAKIELSKA;7†180
TORU—15;TORU—;WSCHODNIA;15
PI£A16;PI£A;CHODZIESKA;16
I£AWA17;I£AWA;OGRODOWA;17
DOBRCZ-KUSOWO1198;DOBRCZ-KUSOWO;OSIEDLOWA;1†198
KAW CZYN2893;KAW CZYN;;2†893
W£OC£AWEK19;W£OC£AWEK;WIENIECKA;19
W£OC£AWEK20;W£OC£AWEK;TORU—SKA;20
INOWROC£AW1199;INOWROC£AW;åW.DUCHA;1†199
POZNA—1200;POZNA—;KALISKA;1†200
SZCZECIN1962;SZCZECIN;GDA—SKA;1†962
W£OC£AWEK21;W£OC£AWEK;£ GSKA;21
POZNA—22;POZNA—;CHARTOWO;22
NADARZYN23;NADARZYN;WOLICA;23
KRAPLEWICE7954;KRAPLEWICE;;7†954
POZNA—24;POZNA—;JACKOWSKIEGO;24
TORU—25;TORU—;M. SK£ODOWSKIEJ-CURIE;25
USTKA7144;USTKA;;7†144
USTKA7145;USTKA;;7†145
BYDGOSZCZ26;BYDGOSZCZ;WOJSKA POLSKIEGO;26
åWIECIE27;åWIECIE;BYDGOSKA;27
BRODNICA1775;BRODNICA;DWORCOWA;1†775
USTKA7146;USTKA;;7†146
PRZYRZECZE7210;PRZYRZECZE;;7†210
POZNA—28;POZNA—;åREDZKA;28
GRUDZI•DZ29;GRUDZI•DZ;£YSOWSKIEGO;29
BYDGOSZCZ30;BYDGOSZCZ;WOJSKA POLSKIEGO;30
SIEMIEROWICE7163;SIEMIEROWICE;;7†163
SZCZECINEK1772;SZCZECINEK;DWORCOWA;1†772
BYDGOSZCZ31;BYDGOSZCZ;PRZEMYS£OWA;31
åWIECIE32;åWIECIE;MORSK;32
åWIECIE33;åWIECIE;WOJSKA POLSKIEGO;33
W£OC£AWEK34;W£OC£AWEK;ZIELNA;34
TORU—35;TORU—;POZNA—SKA;35
TORU—36;TORU—;BLISKA;36
S£UPSK7147;S£UPSK;SZARYCH SZEREG”W;7†147
BYDGOSZCZ37;BYDGOSZCZ;GAJOWA;37
BYDGOSZCZ38;BYDGOSZCZ;TORU—SKA;38
BYDGOSZCZ39;BYDGOSZCZ;KLEEBERGA;39
USTKA7148;USTKA;;7†148
GDYNIA7235;GDYNIA;CZERNIECKIEGO;7†235
BYDGOSZCZ40;BYDGOSZCZ;SMOLE—SKA;40
BYDGOSZCZ41;BYDGOSZCZ;RYNEK;41
GNIEZNO42;GNIEZNO;CECHOWA;42
SUCHY LAS1158;SUCHY LAS;OBORNICKA;1†158
KOZIEG£OWY45;KOZIEG£OWY;PIASKOWA;45
BYDGOSZCZ46;BYDGOSZCZ;TORU—SKA;46
GDYNIA1159;GDYNIA;STRAØACKA;1†159
MOSINA1201;MOSINA;LUDWIKOWO;1†201
WAPNO7455;WAPNO;åWIERCZEWSKIEGO;7†455
SUCHY LAS47;SUCHY LAS;KLONOWA;47
BYDGOSZCZ48;BYDGOSZCZ;WARSZAWSKA;48
OKONEK49;OKONEK;;49
PI£A50;PI£A;AL.POWSTA—C”W WLKP.;50
OWI—SKA2808;OWI—SKA;OBORNICKA;2†808
KONIN51;KONIN;SP”£DZIELC”W;51
BYDGOSZCZ52;BYDGOSZCZ;M. PIOTROWSKIEGO;52
KO£O53;KO£O;SIENKIEWICZA;53
BIA£OGARD1773;BIA£OGARD;KO£OBRZESKA;1†773
WA£CZ54;WA£CZ;WOJSKA POLSKIEGO;54
PI£A55;PI£A;SIEMIERADZKIEGO;55
KONIN3410;KONIN;POZNA—SKA;3†410
KO£O57;KO£O;TOWAROWA;57
KONIN58;KONIN;M. D•BROWSKIEJ;58
D•BROWA CHE£MI—SKA59;D•BROWA CHE£MI—SKA;STRZYØAWA;59
KARTUZY7149;KARTUZY;S DZICKIEGO;7†149
POZNA—60;POZNA—;28 CZERWCA 1956 R.;60
WI•G7949;WI•G;;7†949
INOWROC£AW61;INOWROC£AW;PL. KASPROWICZA;61
INOWROC£AW62;INOWROC£AW;TORU—SKA;62
Z£OT”W63;Z£OT”W;BRZOZOWA;63
£YSOMICE64;£YSOMICE;GDA—SKA;64
TORU—65;TORU—;åW. JAKUBA;65
JANIKOWO66;JANIKOWO;PRZEMYS£OWA;66
ØNIN7150;ØNIN;PRZEMYS£OWA;7†150
TORU—67;TORU—;MONIUSZKI;67
TORU—68;TORU—;KS. POPIE£USZKI;68
BRZOZA69;BRZOZA;BYDGOSKA;69
DOMANIEWEK-PRUSZK”W7315;DOMANIEWEK-PRUSZK”W;;7†315
POZNA—70;POZNA—;KOPCZY—SKIEGO;70
LOTY—71;LOTY—;POCZTOWA;71
G•DKI72;G•DKI;POZNA—SKA;72
BYDGOSZCZ1202;BYDGOSZCZ;SOBIESKIEGO;1†202
INOWROC£AW74;INOWROC£AW;NOWA;74
LIPNO75;LIPNO;3 MAJA;75
LIPNO76;LIPNO;CHABROWA;76
BYDGOSZCZ7152;BYDGOSZCZ;LEGNICKA;7†152
SIERPC1203;SIERPC;BIA£ASY;1†203
TORU—77;TORU—;POD D BOW• G”R•;77
BRODNICA78;BRODNICA;LIDZBARSKA;78
åWINOUJåCIE7151;åWINOUJåCIE;MAZOWIECKA;7†151
TORU—79;TORU—;SZOSA LUBICKA;79
KACZORY80;KACZORY;PRZEMYS£OWA;80
SOLEC KUJAWSKI81;SOLEC KUJAWSKI;ROLNA;81
GDYNIA7153;GDYNIA;STRAZACKA;7†153
TORU—82;TORU—;CHROBREGO;82
PI£A83;PI£A;GARCZY—SKIEGO;83
WEJHEROWO1204;WEJHEROWO;SOBIESKIEGO;1†204
BRODNICA84;BRODNICA;LIDZBARSKA;84
BRODNICA85;BRODNICA;PODG”RNA;85
BYDGOSZCZ86;BYDGOSZCZ;NOWOTORU—SKA;86
KO£O1290;KO£O;KOLONIA POWIERCIE;1†290
W•BRZEèNO87;W•BRZEèNO;1000-LECIA;87
GRUDZI•DZ88;GRUDZI•DZ;WARY—SKIEGO;88
BYDGOSZCZ89;BYDGOSZCZ;BIA£OGARDZKA;89
DOBRCZ1205;DOBRCZ;GDA—SKA 4 ALEKSANDROWO;1†205
PODOBOWICE-ØNIN7276;PODOBOWICE-ØNIN;;7†276
NOWE MIASTO LUBAWSKIE90;NOWE MIASTO LUBAWSKIE;GRUNWALDZKA;90
LUBICZ91;LUBICZ;LAMPUSZ;91
CHE£MNO92;CHE£MNO;POLNA;92
KO£OBRZEG7236;KO£OBRZEG;SZPITALNA;7†236
W£OC£AWEK93;W£OC£AWEK;LEåNA;93
W£OC£AWEK95;W£OC£AWEK;KRZYWA G”RNA;95
POZNA—96;POZNA—;PU£ASKIEGO;96
BYDGOSZCZ7183;BYDGOSZCZ;BA£TYCKA;7†183
GRUDZI•DZ7945;GRUDZI•DZ;DWORCOWA;7†945
BYDGOSZCZ97;BYDGOSZCZ;ZYGMUNTA AUGUSTA;97
BOR”WNO1206;BOR”WNO;SZKOLNA 20;1†206
S P”LNO KRAJE—SKIE98;S P”LNO KRAJE—SKIE;MONIUSZKI;98
BYDGOSZCZ7023;BYDGOSZCZ;JAGIELO—SKA;7†023
BYDGOSZCZ99;BYDGOSZCZ;MONIUSZKI;99
BYDGOSZCZ100;BYDGOSZCZ;CIEP£A;100
KOSZALIN1774;KOSZALIN;S£OWIA—SKA;1†774
BYDGOSZCZ101;BYDGOSZCZ;SZAJNOCHY;101
BYDGOSZCZ102;BYDGOSZCZ;CZ STOCHOWSKA;102
RYNARZEWO103;RYNARZEWO;STRAØACKA;103
JEØEWO1207;JEØEWO;KR•PLEWICE;1†207
3894;;;3†894
GORZ”W WIELKOPOLSKI7570;GORZ”W WIELKOPOLSKI;PODMIEJSKA;7†570
